Year,concept.REF_AREA,concept.SEX,Value
2009,Ошская область,Смоделированные данные,383
2010,Ошская область,Смоделированные данные,406
2011,Ошская область,Смоделированные данные,442
2012,Ошская область,Смоделированные данные,506
2013,Ошская область,Смоделированные данные,427
2014,Ошская область,Смоделированные данные,305
2015,Ошская область,Смоделированные данные,284
2016,Ошская область,Смоделированные данные,218
2017,Ошская область,Смоделированные данные,129
2018,Ошская область,Смоделированные данные,153
2007,Ошская область,Женщины,443
2008,Ошская область,Женщины,369
2009,Ошская область,Женщины,382
2010,Ошская область,Женщины,432
2011,Ошская область,Женщины,452
2012,Ошская область,Женщины,524
2013,Ошская область,Женщины,442
2014,Ошская область,Женщины,331
2015,Ошская область,Женщины,295
2016,Ошская область,Женщины,223
2017,Ошская область,Женщины,157
2018,Ошская область,Женщины,143
2007,Таласская область,,353
2008,Таласская область,,430
2009,Таласская область,,330
2010,Таласская область,,423
2011,Таласская область,,502
2012,Таласская область,,396
2013,Таласская область,,231
2014,Таласская область,,190
2015,Таласская область,,215
2016,Таласская область,,181
2017,Таласская область,,207
2018,Таласская область,,221
2007,Таласская область,Смоделированные данные,355
2008,Таласская область,Смоделированные данные,454
2009,Таласская область,Смоделированные данные,357
2010,Таласская область,Смоделированные данные,443
2011,Таласская область,Смоделированные данные,514
2012,Таласская область,Смоделированные данные,422
2013,Таласская область,Смоделированные данные,233
2014,Таласская область,Смоделированные данные,197
2015,Таласская область,Смоделированные данные,226
2016,Таласская область,Смоделированные данные,191
2017,Таласская область,Смоделированные данные,214
2018,Таласская область,Смоделированные данные,238
2007,Таласская область,Женщины,349
2008,Таласская область,Женщины,400
2009,Таласская область,Женщины,298
2010,Таласская область,Женщины,401
2011,Таласская область,Женщины,488
2012,Таласская область,Женщины,367
2013,Таласская область,Женщины,228
2014,Таласская область,Женщины,184
2015,Таласская область,Женщины,204
2016,Таласская область,Женщины,171
2017,Таласская область,Женщины,199
2018,Таласская область,Женщины,203
2007,Чуй,,150
2008,Чуй,,158
2009,Чуй,,212
2010,Чуй,,219
2011,Чуй,,286
2012,Чуй,,166
2013,Чуй,,236
2014,Чуй,,216
2015,Чуй,,248
2016,Чуй,,303
2017,Чуй,,333
2018,Чуй,,156
2007,Чуй,Смоделированные данные,133
2008,Чуй,Смоделированные данные,149
2009,Чуй,Смоделированные данные,206
2010,Чуй,Смоделированные данные,218
2011,Чуй,Смоделированные данные,316
2012,Чуй,Смоделированные данные,163
2013,Чуй,Смоделированные данные,235
2014,Чуй,Смоделированные данные,208
2015,Чуй,Смоделированные данные,242
2016,Чуй,Смоделированные данные,298
2017,Чуй,Смоделированные данные,323
2018,Чуй,Смоделированные данные,155
2007,Чуй,Женщины,168
2008,Чуй,Женщины,167
2009,Чуй,Женщины,219
2010,Чуй,Женщины,219
2011,Чуй,Женщины,253
2012,Чуй,Женщины,168
2013,Чуй,Женщины,237
2014,Чуй,Женщины,224
2015,Чуй,Женщины,254
2016,Чуй,Женщины,309
2017,Чуй,Женщины,344
2018,Чуй,Женщины,157
2007,Бишкек (город),,50
2008,Бишкек (город),,152
2009,Бишкек (город),,132
2010,Бишкек (город),,79
2011,Бишкек (город),,184
2012,Бишкек (город),,214
2013,Бишкек (город),,204
2014,Бишкек (город),,176
2015,Бишкек (город),,235
2016,Бишкек (город),,98
2017,Бишкек (город),,159
2018,Бишкек (город),,154
2007,Бишкек (город),Смоделированные данные,50
2008,Бишкек (город),Смоделированные данные,146
2009,Бишкек (город),Смоделированные данные,127
2010,Бишкек (город),Смоделированные данные,73
2011,Бишкек (город),Смоделированные данные,171
2012,Бишкек (город),Смоделированные данные,199
2013,Бишкек (город),Смоделированные данные,184
2014,Бишкек (город),Смоделированные данные,158
2015,Бишкек (город),Смоделированные данные,222
2016,Бишкек (город),Смоделированные данные,89
2017,Бишкек (город),Смоделированные данные,143
2018,Бишкек (город),Смоделированные данные,147
2007,Бишкек (город),Женщины,50
2008,Бишкек (город),Женщины,160
2009,Бишкек (город),Женщины,140
2010,Бишкек (город),Женщины,87
2011,Бишкек (город),Женщины,200
2012,Бишкек (город),Женщины,233
2013,Бишкек (город),Женщины,228
2014,Бишкек (город),Женщины,199
2015,Бишкек (город),Женщины,252
2016,Бишкек (город),Женщины,109
2017,Бишкек (город),Женщины,179
2018,Бишкек (город),Женщины,163
2007,г. Ош,,0
2008,г. Ош,,0
2009,г. Ош,,0
2010,г. Ош,,0
2011,г. Ош,,0
2012,г. Ош,,0
2013,г. Ош,,409
2014,г. Ош,,334
2015,г. Ош,,383
2016,г. Ош,,246
2017,г. Ош,,335
2018,г. Ош,,355
2007,г. Ош,Смоделированные данные,0
2008,г. Ош,Смоделированные данные,0
2009,г. Ош,Смоделированные данные,0
2010,г. Ош,Смоделированные данные,0
2011,г. Ош,Смоделированные данные,0
2012,г. Ош,Смоделированные данные,0
2013,г. Ош,Смоделированные данные,402
2014,г. Ош,Смоделированные данные,320
2015,г. Ош,Смоделированные данные,358
2016,г. Ош,Смоделированные данные,232
2017,г. Ош,Смоделированные данные,309
2018,г. Ош,Смоделированные данные,339
2007,г. Ош,Женщины,0
2008,г. Ош,Женщины,0
2009,г. Ош,Женщины,0
2010,г. Ош,Женщины,0
2011,г. Ош,Женщины,0
2012,г. Ош,Женщины,0
2013,г. Ош,Женщины,416
2014,г. Ош,Женщины,350
2015,г. Ош,Женщины,410
2016,г. Ош,Женщины,262
2017,г. Ош,Женщины,364
2018,г. Ош,Женщины,373
